Libellé Gare	Voyageurs	Commune	Département	coordonnees_geographiques
Zornhoff-Monswiller	O	Monswiller	Bas-Rhin	"48.7523917394,7.38365942769"
Hochfelden	O	Hochfelden	Bas-Rhin	"48.7551379162,7.57216244161"
Châlons-en-Champagne	O	Châlons-en-Champagne	Marne	"48.9552779497,4.34897431533"
Vitry-la-Ville	N	Vitry-la-Ville	Marne	"48.8440170168,4.46171679264"
Blesme-Haussignemont	O	Haussignémont	Marne	"48.7215046572,4.75290547772"
Jarville-la-Malgrange	O	Jarville-la-Malgrange	Meurthe-et-Moselle	"48.6699876077,6.20296276242"
Varangéville-St-Nicolas	O	Varangéville	Meurthe-et-Moselle	"48.6353363019,6.31315811379"
Dombasle-sur-Meurthe	O	Dombasle-sur-Meurthe	Meurthe-et-Moselle	"48.6232052795,6.34353933449"
Rosières-aux-Salines	O	Dombasle-sur-Meurthe	Meurthe-et-Moselle	"48.6051061412,6.35077948126"
Revigny	O	Revigny-sur-Ornain	Meuse	"48.8240265132,4.98583551165"
Hommarting	N	Hommarting	Moselle	"48.7276314267,7.12935464176"
Changis-St-Jean	O	Changis-sur-Marne	Seine-et-Marne	"48.9591636911,3.02534777736"
La Ferté-sous-Jouarre	O	La Ferté-sous-Jouarre	Seine-et-Marne	"48.9509573783,3.12591313671"
Le Raincy-Villemomble-Montfermeil	O	Le Raincy	Seine-St-Denis	"48.8891441889,2.51255875955"
Gagny	O	Gagny	Seine-St-Denis	"48.8832873764,2.52682312288"
Les Champs-Forts	O	Esbly	Seine-et-Marne	"48.8967030694,2.80666828018"
Lizy-sur-Ourcq	O	Lizy-sur-Ourcq	Seine-et-Marne	"49.0217921884,3.03186492072"
Roissy-Aéroport-Charles-de-Gaulle	O	Roissy-en-France	Val-d'Oise	"49.0088274181,2.55596363764"
Val-de-Vesle (Marne)	O	Val-de-Vesle	Marne	"49.1780939013,4.22215355778"
Prunay	O	Prunay	Marne	"49.1987124538,4.18376046089"
Aguilcourt-Variscourt	O	Variscourt	Aisne	"49.4068531448,3.9735146175"
Amifontaine	O	Amifontaine	Aisne	"49.4846966265,3.91068216921"
Suippes	O	Suippes	Marne	"49.120068429,4.54317608161"
Jeandelize	N	Jeandelize	Meurthe-et-Moselle	"49.1635725893,5.78894258886"
Hatrize	O	Hatrize	Meurthe-et-Moselle	"49.1940550367,5.90734138784"
Joeuf	O	Joeuf	Meurthe-et-Moselle	"49.2249961484,6.01760304707"
Clermont-en-Argonne	O	Clermont-en-Argonne	Meuse	"49.1064384324,5.06427373586"
Baleycourt	N	Verdun	Meuse	"49.1354350474,5.30832565406"
Hagondange	O	Hagondange	Moselle	"49.2535273404,6.16395679078"
Conflans-Jarny	O	Conflans-en-Jarnisy	Meurthe-et-Moselle	"49.1665101188,5.86817260393"
Batilly	N	Batilly	Meurthe-et-Moselle	"49.1663382893,5.9718463458"
Sedan	O	Sedan	Ardennes	"49.6948628186,4.93028252686"
Dugny	N	Dugny-sur-Meuse	Meuse	"49.1106669999,5.38551217405"
Thiaucourt	N	Thiaucourt-Regniéville	Meurthe-et-Moselle	"48.9562545865,5.87146601367"
Pagny-sur-Moselle	O	Pagny-sur-Moselle	Meurthe-et-Moselle	"48.9851034095,6.02549772999"
Champigneulles	O	Champigneulles	Meurthe-et-Moselle	"48.7350949433,6.16921654408"
Bénestroff	O	Bénestroff	Moselle	"48.9067562691,6.7523189334"
Duttlenheim	O	Dachstein	Bas-Rhin	"48.5454365414,7.56623949672"
Fouday	O	Fouday	Bas-Rhin	"48.425247813,7.18739529921"
Saulxures (Bas-Rhin)	O	Colroy-la-Roche	Bas-Rhin	"48.38984236,7.1481336974"
Saales	O	Saales	Bas-Rhin	"48.3472947029,7.1108807253"
Provenchères-sur-Fave	O	Provenchères-sur-Fave	Vosges	"48.304571125,7.08546724276"
Goxwiller	O	Goxwiller	Bas-Rhin	"48.4327722022,7.47878639685"
Obernai	O	Obernai	Bas-Rhin	"48.4621236582,7.48911643566"
Rosheim	O	Rosheim	Bas-Rhin	"48.5052097494,7.49132139801"
Sarrebourg	O	Sarrebourg	Moselle	"48.7386214982,7.05172753911"
Limersheim	O	Hipsheim	Bas-Rhin	"48.4607258809,7.6596822537"
Erstein	O	Erstein	Bas-Rhin	"48.4232958845,7.63850817504"
Kogenheim	O	Kogenheim	Bas-Rhin	"48.3390132222,7.53525630303"
Sierentz	O	Sierentz	Haut-Rhin	"47.6561548757,7.45942137539"
St-Louis (Haut-Rhin)	O	St-Louis	Haut-Rhin	"47.5902689354,7.55486154692"
Bouchain	O	Neuville-sur-Escaut	Nord	"50.2780369032,3.3318976024"
Lourches	O	Roeulx	Nord	"50.3106144238,3.34347795503"
Bavay	N	Bavay	Nord	"50.2969093293,3.78055513543"
St-Amand-les-Eaux	O	Bruille-lez-Marchiennes	Nord	"50.4417361169,3.42157798126"
Blanc-Misseron	N	Crespin	Nord	"50.4047356994,3.66096255797"
Sin-le-Noble	O	Sin-le-Noble	Nord	"50.3565404646,3.11261004756"
Montdidier	O	Montdidier	Somme	"49.641199606,2.56174796291"
Épehy	N	Épehy	Somme	"50.0079344525,3.13333632404"
Mennessis	O	Mennessis	Aisne	"49.6921765571,3.27023536527"
Tergnier	O	Mennessis	Aisne	"49.657025416,3.29602916343"
La Fère	O	La Fère	Aisne	"49.6578290338,3.36988447393"
Amiens	O	Amiens	Somme	"49.8899171583,2.30927649449"
Guillaucourt	N	Guillaucourt	Somme	"49.8450059801,2.63482028798"
Douai	O	Douai	Nord	"50.3715821291,3.09043091426"
Somain	O	Somain	Nord	"50.3555066121,3.27897259195"
Wallers	O	Wallers	Nord	"50.3845889863,3.39364083365"
Beuvrages	O	Beuvrages	Nord	"50.3895140207,3.50585479362"
